vowel,word,trial,time_index,v_time,time_abs,F1,F2,F3
u,лук,1,1,0,1.827655217306722,390.8567728591339,956.6307508994079,2926.832537954733
u,лук,1,2,0.006886808908288621,1.8345420262150105,404.36321139484295,946.5046543063337,2920.562269591841
u,лук,1,3,0.013773617816577242,1.8414288351232992,407.99910449566227,929.1932224814849,2889.4470484809585
u,лук,1,4,0.020660426724865864,1.8483156440315878,405.50775473693267,897.6075461850365,2793.50899856053
u,лук,1,5,0.027547235633154483,1.8552024529398765,397.6545748447227,836.1719010509181,2754.929200953102
u,лук,1,6,0.0344340445414431,1.862089261848165,381.7374907666002,767.1066076676649,2760.245532651684
u,лук,1,7,0.04132085344973173,1.8689760707564538,361.4000801033664,723.4304266338357,2723.4783571160656
u,лук,1,8,0.04820766235802035,1.8758628796647423,336.46862571348265,687.3164259900016,2643.4747270290786
u,лук,1,9,0.05509447126630897,1.882749688573031,308.5599832354478,660.5368321118856,2506.150089721963
u,лук,1,10,0.061981280174597586,1.8896364974813196,292.25400307631816,645.9516217089853,2451.357787209887
u,лук,2,1,0,3.1511378469172477,356.06682373108384,839.1355481541847,2874.8779363829617
u,лук,2,2,0.012095794786972449,3.1632336417042204,353.47715054243616,733.5607598201526,2911.166129516535
u,лук,2,3,0.024191589573944898,3.1753294364911926,340.24226463469995,676.7511962025706,2850.5635664423407
u,лук,2,4,0.036287384360917344,3.1874252312781652,345.48501950895786,645.717284557773,2755.881129249032
u,лук,2,5,0.048383179147889796,3.1995210260651374,383.5521247286028,535.9170969861584,2403.96860006123
u,лук,2,6,0.06047897393486225,3.21161682085211,356.0191860733822,490.7973426665856,2566.1538135610817
u,лук,2,7,0.07257476872183469,3.2237126156390823,337.84066386693775,1144.6828161416383,2837.599564483022
u,лук,2,8,0.08467056350880714,3.235808410426055,312.4293882255918,2050.7553318492887,3009.0345904850255
u,лук,2,9,0.09676635829577959,3.247904205213027,226.63802730298275,1448.8224767458662,2746.045880875281
u,лук,2,10,0.10886215308275204,3.26,256.59824681209983,1823.9774640466605,2882.076863903854
u,лук,3,1,0,4.500142180129079,309.31546361930776,803.594161017106,2583.191310891147
u,лук,3,2,0.010127660159247931,4.510269840288327,293.1436557111746,759.0832983580855,2751.562748999232
u,лук,3,3,0.020255320318495862,4.520397500447575,283.6372498210681,741.8147106572695,2787.010323636784
u,лук,3,4,0.030382980477743793,4.530525160606823,277.14385476698993,733.9607809240549,2761.608479109372
u,лук,3,5,0.040510640636991724,4.540652820766071,274.40473225201225,726.3773762094422,2675.9895976461307
u,лук,3,6,0.050638300796239655,4.550780480925319,280.5177237736477,693.8812895538997,2689.7452850754094
u,лук,3,7,0.060765960955487586,4.560908141084567,291.00735576914565,841.8088154061609,2617.863461786908
u,лук,3,8,0.07089362111473552,4.571035801243815,282.9739667162994,683.4101011586106,2465.118782769982
u,лук,3,9,0.08102128127398345,4.5811634614030625,268.9834811192698,1369.0537314124222,2721.72131064547
u,лук,3,10,0.09114894143323138,4.5912911215623105,258.1684037697061,2104.2769333266124,2998.5684552407906
e,мел,1,1,0,7.07,420.87517985188,2564.9869445437366,3261.7849586597276
e,мел,1,2,0.01555555555555552,7.085555555555556,437.0988249859596,2590.620895457628,3322.8441564748696
e,мел,1,3,0.03111111111111104,7.101111111111111,444.94711668080015,2595.5410105557808,3190.884791310251
e,мел,1,4,0.046666666666666565,7.116666666666667,449.94213488265797,2461.433675021824,3054.034920819387
e,мел,1,5,0.06222222222222208,7.1322222222222225,454.1619347595029,2403.897786916352,2996.3481440759897
e,мел,1,6,0.0777777777777776,7.147777777777778,478.11585050761903,2210.4979433603557,2910.703641518334
e,мел,1,7,0.09333333333333313,7.163333333333333,542.2424389375716,1947.6946745331222,2905.5826742525537
e,мел,1,8,0.10888888888888865,7.178888888888889,617.4812204105003,1697.08620614578,3002.252868992085
e,мел,1,9,0.12444444444444416,7.194444444444445,614.216318249601,1507.046780636117,3061.7146255399016
e,мел,1,10,0.13999999999999968,7.21,469.6758248549118,606.3847251491173,1643.9326621753808
e,мел,2,1,0,8.329457182507587,434.0346695426402,2385.7574637606695,3311.1317467820886
e,мел,2,2,0.01228253527693468,8.341739717784522,447.5413965368732,2371.092820324121,3268.261015991502
e,мел,2,3,0.02456507055386936,8.354022253061457,447.89122173069035,2363.0235662272166,3176.0167937055903
e,мел,2,4,0.03684760583080404,8.366304788338391,456.73495238227173,2314.925297601074,3070.9142197939354
e,мел,2,5,0.04913014110773872,8.378587323615326,482.82398345088274,2218.2866980207696,3024.772554839661
e,мел,2,6,0.061412676384673404,8.39086985889226,530.4682261567286,2116.693740378074,2869.2439737667023
e,мел,2,7,0.07369521166160808,8.403152394169195,585.7665144839833,1920.9530013214517,2609.7961988140414
e,мел,2,8,0.08597774693854277,8.41543492944613,591.2746145119006,1770.722305585794,2548.6034761446344
e,мел,2,9,0.09826028221547745,8.427717464723065,592.9953640829938,1689.4608048913462,2513.374725294172
e,мел,2,10,0.11054281749241213,8.44,496.31264289947774,1316.6966875351904,2783.9587595307476
e,мел,3,1,0,9.58,380.1722082592243,1566.4317128280782,2878.482528145572
e,мел,3,2,0.016666666666666705,9.596666666666668,396.37214412881065,2593.002868329434,3319.1000443403664
e,мел,3,3,0.03333333333333341,9.613333333333333,407.37856764018164,2621.9465386603797,3274.675205109386
e,мел,3,4,0.050000000000000114,9.63,409.3429427378472,2627.5685563053758,3270.244223614902
e,мел,3,5,0.06666666666666682,9.646666666666667,417.5877136967663,2582.901098781569,2968.971800812427
e,мел,3,6,0.08333333333333352,9.663333333333334,410.6856594021373,2425.3097881372514,2904.363985157834
e,мел,3,7,0.10000000000000023,9.68,427.29126295780367,2208.4661958418005,2834.1673585559174
e,мел,3,8,0.11666666666666693,9.696666666666667,474.9848404971215,1763.1188983808215,2784.2983836031945
e,мел,3,9,0.13333333333333364,9.713333333333333,526.2184182872056,1645.0965942233702,2664.7809622247314
e,мел,3,10,0.15000000000000036,9.73,487.5056822993615,1475.4636678080813,2658.7611877673085
u,тюк,1,1,0,11.51,321.4914713307819,1732.9524724706632,2317.338516824927
u,тюк,1,2,0.011111111111111072,11.52111111111111,347.98578860711257,1554.2905017284384,2295.3855947141983
u,тюк,1,3,0.022222222222222143,11.532222222222222,378.8818753413681,1419.3858106455436,2296.3725302064795
u,тюк,1,4,0.033333333333333215,11.543333333333333,393.8032162553847,1198.0310775567118,2299.765114096232
u,тюк,1,5,0.04444444444444429,11.554444444444444,389.2903045019732,1003.6277730229006,2326.9054152931876
u,тюк,1,6,0.05555555555555536,11.565555555555555,375.7341238275622,786.48940424008,2287.846667221551
u,тюк,1,7,0.06666666666666643,11.576666666666666,306.7636254642366,737.7316090632187,2258.2198127238453
u,тюк,1,8,0.0777777777777775,11.587777777777777,401.1491779092227,1523.5214848953729,2843.609544375905
u,тюк,1,9,0.08888888888888857,11.598888888888888,400.9082413318334,1851.0208272046407,2841.76357492953
u,тюк,1,10,0.09999999999999964,11.61,259.17126005744217,1441.9745932859914,2313.0796116489846
u,тюк,2,1,0,12.83,317.6952795826591,1816.223774358185,2383.2719896913663
u,тюк,2,2,0.00777777777777781,12.837777777777777,313.1964449940516,1521.4179265611626,2269.029690601045
u,тюк,2,3,0.01555555555555562,12.845555555555556,326.23709230663565,1375.2883934136942,2335.8916076199525
u,тюк,2,4,0.023333333333333428,12.853333333333333,346.33728766717104,1283.888683066917,2363.447738688731
u,тюк,2,5,0.03111111111111124,12.86111111111111,358.0469378021095,1134.054151870131,2289.5117509815213
u,тюк,2,6,0.03888888888888905,12.86888888888889,357.7876434134506,1013.3398901793486,2301.089106971126
u,тюк,2,7,0.046666666666666856,12.876666666666667,343.2512260746347,888.4628656595319,2352.0061828664443
u,тюк,2,8,0.05444444444444467,12.884444444444444,328.6622973874411,837.813906059113,2403.0914184391986
u,тюк,2,9,0.06222222222222248,12.892222222222223,322.4272804591794,762.437505255061,2459.900063677265
u,тюк,2,10,0.07000000000000028,12.9,295.6442232472417,735.036843936295,2465.8790893816295
u,тюк,3,1,0,14.19,314.50505936258975,1748.3609034331932,2410.9644157824614
u,тюк,3,2,0.00777777777777781,14.197777777777777,317.42822350654177,1527.1799012802353,2118.150293937022
u,тюк,3,3,0.01555555555555562,14.205555555555556,335.851499635721,1405.7458493331972,2066.8786028967957
u,тюк,3,4,0.023333333333333428,14.213333333333333,346.6664096955027,1290.639047804511,2135.794367594143
u,тюк,3,5,0.03111111111111124,14.22111111111111,358.9697446515894,1051.3039069750243,2230.1498524286453
u,тюк,3,6,0.03888888888888905,14.22888888888889,362.2896280346826,982.7236621315194,2318.7759038264962
u,тюк,3,7,0.046666666666666856,14.236666666666666,346.0620126303354,828.7105029131637,2368.1257927985325
u,тюк,3,8,0.05444444444444467,14.244444444444444,325.977379041737,664.9709026254156,2425.789985877318
u,тюк,3,9,0.06222222222222248,14.252222222222223,264.6515431207794,840.0710134218027,2441.9032381686425
