vowel,word,trial,time_index,v_time,time_abs,F1,F2,F3
ø,bleu,1,1,0,1.15,412.1262176962732,1612.2320147237085,2674.068869441048
ø,bleu,1,2,0.031111111111111114,1.181111111111111,446.92917854687977,1628.1925046981337,2641.63551805441
ø,bleu,1,3,0.06222222222222223,1.212222222222222,446.22178686652535,1621.4304121762864,2562.9699755441898
ø,bleu,1,4,0.09333333333333334,1.2433333333333332,417.73604146001736,1624.3632514927835,2540.142763418993
ø,bleu,1,5,0.12444444444444445,1.2744444444444443,425.9294697787994,1590.4237817810445,2515.223073456099
ø,bleu,1,6,0.15555555555555556,1.3055555555555554,445.75811885066514,1574.4659813151857,2518.2475418225813
ø,bleu,1,7,0.18666666666666668,1.3366666666666667,403.6086423773101,1569.420650397611,2592.480951884156
ø,bleu,1,8,0.2177777777777778,1.3677777777777778,408.09537253721413,1613.4281181397291,2627.3812043469466
ø,bleu,1,9,0.2488888888888889,1.3988888888888888,229.2233039802203,1539.859853211455,2576.8032350019744
ø,bleu,1,10,0.28,1.43,293.82959266752533,1563.308274818848,2510.038669105433
ø,bleu,2,1,0,2.33,437.50871632331564,1594.1075495746452,2604.551548316435
ø,bleu,2,2,0.025555555555555554,2.3555555555555556,450.73239322277595,1568.6450029506145,2567.462591366193
ø,bleu,2,3,0.05111111111111111,2.381111111111111,411.149116169513,1558.4950166262374,2515.8083005551402
ø,bleu,2,4,0.07666666666666666,2.4066666666666667,426.2582403427728,1546.7910700298812,2529.6045515663036
ø,bleu,2,5,0.10222222222222221,2.4322222222222223,435.6859811874629,1549.0555528276284,2533.412771613863
ø,bleu,2,6,0.12777777777777777,2.457777777777778,423.82873545968306,1589.134363029891,2611.486714193488
ø,bleu,2,7,0.15333333333333332,2.4833333333333334,407.35022207641697,1619.8504493096605,2658.4994989115326
ø,bleu,2,8,0.17888888888888888,2.508888888888889,318.17546693228866,1609.6291132905528,2586.566520497547
ø,bleu,2,9,0.20444444444444443,2.5344444444444445,368.71254469244377,1564.7797699005973,2581.4946587366835
ø,bleu,2,10,0.22999999999999998,2.56,390.90667571316874,1565.7830792526715,2705.2172509594157
ø,bleu,3,1,0,3.42,400.81820030232615,1581.4785246499405,2551.237415873712
ø,bleu,3,2,0.025555555555555554,3.4455555555555555,417.06674377303904,1579.9584139692508,2536.080386237231
ø,bleu,3,3,0.05111111111111111,3.471111111111111,415.3494647114158,1593.5303974304816,2530.618291977442
ø,bleu,3,4,0.07666666666666666,3.4966666666666666,422.38295464780583,1581.5310208964727,2580.9312024541814
ø,bleu,3,5,0.10222222222222221,3.522222222222222,426.30509494600733,1616.1030288196655,2632.479618083731
ø,bleu,3,6,0.12777777777777777,3.5477777777777777,326.740805586757,1645.4434331837426,2655.304178778067
ø,bleu,3,7,0.15333333333333332,3.5733333333333333,359.80851131497167,1612.7011712914098,2519.429778274181
ø,bleu,3,8,0.17888888888888888,3.598888888888889,416.03968937577037,1577.2016950334928,2555.69249446543
ø,bleu,3,9,0.20444444444444443,3.6244444444444444,416.6067896643039,1731.3572269195943,2705.456324154637
ø,bleu,3,10,0.22999999999999998,3.65,434.82467713412365,1595.130620892638,2212.98068327005
e,fée,1,1,0,4.85,459.2614149419136,1820.0786109365617,2557.0330676205754
e,fée,1,2,0.027777777777777776,4.877777777777777,402.44831347198004,1877.1405400750039,2827.404635725497
e,fée,1,3,0.05555555555555555,4.905555555555555,402.73229070177155,1980.4782542051864,2911.8201011510873
e,fée,1,4,0.08333333333333333,4.933333333333333,409.8967500940157,2041.5201582681998,2970.223356780944
e,fée,1,5,0.1111111111111111,4.96111111111111,431.43845912180353,2074.5597965445295,2988.2686125545993
e,fée,1,6,0.1388888888888889,4.988888888888889,412.28850760205546,2059.9006730207084,2962.2780806569995
e,fée,1,7,0.16666666666666666,5.016666666666667,433.02484154030606,2097.3669881589362,3057.2279333408533
e,fée,1,8,0.19444444444444442,5.044444444444444,481.11463507334753,2100.61685624636,3083.6027097251526
e,fée,1,9,0.2222222222222222,5.072222222222222,179.86836511739062,350.8664192474288,2067.243760099262
e,fée,1,10,0.25,5.1,327.9298704125872,1896.5654077043705,2706.382818111884
e,fée,2,1,0,5.910480518507389,439.8705954884646,1821.9147614888843,2671.9069339602884
e,fée,2,2,0.028835497943623462,5.939316016451012,399.1017065025182,1876.075771142006,2738.7320486022677
e,fée,2,3,0.057670995887246924,5.968151514394636,394.8787103158135,1934.5454255783134,2768.025725547346
e,fée,2,4,0.08650649383087039,5.996987012338259,398.0477913311085,1977.2505307526435,2787.817546654776
e,fée,2,5,0.11534199177449385,6.025822510281882,397.6812153236026,1999.325344852127,2814.354144066739
e,fée,2,6,0.1441774897181173,6.054658008225506,386.7732608166813,2055.650057093031,2846.064344677049
e,fée,2,7,0.17301298766174078,6.0834935061691295,395.6351542229577,2106.220819037485,2906.474924548007
e,fée,2,8,0.20184848560536423,6.112329004112753,423.0637863875374,2076.3151033209547,2944.8949507619636
e,fée,2,9,0.2306839835489877,6.141164502056377,421.9740270305214,1968.7764833225701,2922.071824807207
e,fée,2,10,0.25951948149261117,6.17,303.98200283863775,1712.1739657518242,2247.32242789082
e,fée,3,1,0,6.927628720295526,406.48996261871775,1866.1794693541237,2774.244863593281
e,fée,3,2,0.02026347552271939,6.947892195818246,414.75691636438506,1892.9590265910251,2777.2656792027533
e,fée,3,3,0.04052695104543878,6.9681556713409645,404.42185714343344,1935.503096638666,2801.154686209029
e,fée,3,4,0.060790426568158175,6.988419146863684,396.4342947387489,1976.6037734552629,2791.493512494879
